Main.Study.t,Main.Study.FileOut.abduction,Main.Study.FileOut.Ins[0],Main.Study.FileOut.Ins[1],Main.Study.FileOut.Ins[2],Main.Study.FileOut.Ori[0],Main.Study.FileOut.Ori[1],Main.Study.FileOut.Ori[2]
           7.681159e-01,           1.783271e+00,          -8.922928e-02,           1.666606e+00,           1.618355e-01,          -6.616845e-02,           1.629543e+00,           1.799661e-01
           7.826087e-01,           1.813625e+00,          -8.974559e-02,           1.667232e+00,           1.612742e-01,          -6.666871e-02,           1.630301e+00,           1.796529e-01
           7.971014e-01,           1.843978e+00,          -9.025760e-02,           1.667857e+00,           1.607088e-01,          -6.716447e-02,           1.631061e+00,           1.793347e-01
           8.115942e-01,           1.874332e+00,          -9.076525e-02,           1.668483e+00,           1.601393e-01,          -6.765567e-02,           1.631823e+00,           1.790116e-01
           8.260870e-01,           1.904685e+00,          -9.126851e-02,           1.669109e+00,           1.595657e-01,          -6.814224e-02,           1.632587e+00,           1.786835e-01
           8.405797e-01,           1.935039e+00,          -9.176733e-02,           1.669735e+00,           1.589880e-01,          -6.862409e-02,           1.633352e+00,           1.783506e-01
           8.550725e-01,           1.965393e+00,          -9.226167e-02,           1.670361e+00,           1.584063e-01,          -6.910116e-02,           1.634120e+00,           1.780127e-01
           8.695652e-01,           1.995746e+00,          -9.275148e-02,           1.670987e+00,           1.578206e-01,          -6.957335e-02,           1.634890e+00,           1.776700e-01
           8.840580e-01,           2.026100e+00,          -9.323673e-02,           1.671613e+00,           1.572309e-01,          -7.004061e-02,           1.635662e+00,           1.773223e-01
           8.985507e-01,           2.056453e+00,          -9.371735e-02,           1.672239e+00,           1.566372e-01,          -7.050285e-02,           1.636436e+00,           1.769698e-01
           9.130435e-01,           2.086807e+00,          -9.419333e-02,           1.672866e+00,           1.560395e-01,          -7.096000e-02,           1.637212e+00,           1.766124e-01
           9.275362e-01,           2.117160e+00,          -9.466461e-02,           1.673492e+00,           1.554380e-01,          -7.141198e-02,           1.637991e+00,           1.762501e-01
           9.420290e-01,           2.147514e+00,          -9.513117e-02,           1.674119e+00,           1.548326e-01,          -7.185874e-02,           1.638771e+00,           1.758830e-01
           9.565217e-01,           2.177867e+00,          -9.559297e-02,           1.674745e+00,           1.542233e-01,          -7.230021e-02,           1.639553e+00,           1.755109e-01
           9.710145e-01,           2.208221e+00,          -9.604999e-02,           1.675371e+00,           1.536101e-01,          -7.273633e-02,           1.640337e+00,           1.751340e-01
           9.855072e-01,           2.238574e+00,          -9.650221e-02,           1.675998e+00,           1.529931e-01,          -7.316704e-02,           1.641124e+00,           1.747522e-01
           1.000000e+00,           2.268928e+00,          -9.694962e-02,           1.676624e+00,           1.523723e-01,          -7.359232e-02,           1.641912e+00,           1.743654e-01
